soundcloud_name,song_name,genre,song_listens,timestamp,ig_handle,media_uploads,followers,following,engagement_rate,avg_likes,avg_comments
070 Shake,Guilty Conscience (Tame Impala Remix),indie,14600.0,2020-08-11 01:32:22.207000+00:00,070shake,n/a,n/a,n/a,n/a,n/a,n/a
0okini,MizOrMac - Return Of The Mac,rap,272000.0,2020-08-12 20:30:24.554000+00:00,,n/a,n/a,n/a,n/a,n/a,n/a
100 gecs,hand crushed by a mallet,ultimate,1040000.0,2020-08-13 15:05:57.024000+00:00,,n/a,n/a,n/a,n/a,n/a,n/a
17 Steps,9th House - Lyra,indie,4233,2020-08-11 00:44:21.772000+00:00,,n/a,n/a,n/a,n/a,n/a,n/a
22Gz,"Suburban, Pt. 2",rap,16300000.0,2020-08-12 19:37:39.384000+00:00,22gzofficial,77,"340,411",668,5.94%,"19,771.80",451.75
24kGoldn,CITY OF ANGELS,ultimate,6090000.0,2020-08-13 14:59:23.895000+00:00,24kgoldn,47,"444,360",774,9.45%,"40,732.20","1,249.95"
2TURNTX,Tonight,ultimate,1060000.0,2020-08-14 03:57:02.156000+00:00,,n/a,n/a,n/a,n/a,n/a,n/a
30Deep Grimeyy,Loose Screw (feat. Lil Baby),rap,238000.0,2020-08-12 20:39:49.058000+00:00,grimeyy_duce,n/a,n/a,n/a,n/a,n/a,n/a
318tae,Mixed Signals,ultimate,4551,2020-08-14 03:57:17.069000+00:00,,n/a,n/a,n/a,n/a,n/a,n/a
3BEAT,"2 + 2 x 2 (feat. K..J, Frisco, JME, Shorty & Jammer)",ultimate,872000.0,2020-08-13 16:55:22.856000+00:00,,n/a,n/a,n/a,n/a,n/a,n/a
42 Dugg,Not A Rapper (feat. Lil Baby & Yo Gotti),rap,2150000.0,2020-08-12 20:41:56.540000+00:00,42_dugggg,26,"1,099,812","1,215",9.34%,"101,179.00","1,538.60"
420 gaming L3gend,not worth it,ultimate,175,2020-08-14 03:49:00.337000+00:00,,n/a,n/a,n/a,n/a,n/a,n/a
4ever Falling,Change Your Mind (prod. Feelo),indie,16200.0,2020-08-11 01:01:06.280000+00:00,4everfalling,82,"3,617",13,26.73%,928.80,38.10
6LACK,Know My Rights (feat. Lil Baby),rap,7440000.0,2020-08-12 20:40:55.324000+00:00,6lack,n/a,n/a,n/a,n/a,n/a,n/a
6ix9ine,punani,rap,161000.0,2020-08-12 20:48:45.471000+00:00,,n/a,n/a,n/a,n/a,n/a,n/a
777Julius,Denial,indie,1003,2020-08-11 00:49:32.802000+00:00,,n/a,n/a,n/a,n/a,n/a,n/a
,,,,,,n/a,n/a,n/a,n/a,n/a,n/a
93PUNX,it’s a bad dream (feat. Good Charlotte),ultimate,102000.0,2020-08-13 15:02:57.437000+00:00,,n/a,n/a,n/a,n/a,n/a,n/a
999,lifes a mess,ultimate,803000.0,2020-08-13 00:54:09.127000+00:00,,n/a,n/a,n/a,n/a,n/a,n/a
,,,,,,n/a,n/a,n/a,n/a,n/a,n/a
A BOOGIE WIT DA HOODIE,My Shit,rap,77200000.0,2020-08-12 20:20:26.600000+00:00,artisthbtl,23,"5,728,559",12,5.72%,"323,557.00","4,211.60"
"A Festival, A Parade",Buffalo Bill,ultimate,9,2020-08-13 15:12:02.065000+00:00,afestivalaparade,192,"1,616",16,6.04%,94.50,3.05
A strange lifter (7th account),Sick Puppies - Youre Going Down,indie,83900.0,2020-08-11 01:12:46.860000+00:00,,n/a,n/a,n/a,n/a,n/a,n/a
A$AP Ferg,Move Ya Hips (feat. MadeinTYO & Nicki Minaj),rap,39200.0,2020-08-12 19:35:07.092000+00:00,asapferg,42,"3,954,036","1,607",1.84%,"71,671.20","1,072.75"
A-Trak,A-Trak & Loods - What Can I Do,ultimate,47700.0,2020-08-13 16:46:42.980000+00:00,atrak,"5,786","414,054","2,669",0.90%,"3,638.85",103.20
AFTR:HRS,Crvvcks - Palms,ultimate,59800.0,2020-08-13 16:46:15.303000+00:00,aftrhrsrecords,336,"9,252",113,3.15%,281.95,9.75
AGORIA,Embrace (Black Coffee + Aquatone Remix) [feat. Phoebe Killdeer],ultimate,35900.0,2020-08-13 23:45:05.808000+00:00,,n/a,n/a,n/a,n/a,n/a,n/a
AJ Tracey,AJ Tracey & Mabel - West Ten,rap,515000.0,2020-08-12 13:58:14.201000+00:00,,n/a,n/a,n/a,n/a,n/a,n/a
AKA George,i want you,indie,11,2020-08-11 02:51:32.949000+00:00,,n/a,n/a,n/a,n/a,n/a,n/a
AKA ORANGE,System,indie,332,2020-08-11 00:30:48.644000+00:00,,n/a,n/a,n/a,n/a,n/a,n/a
AM,AM x Skengdo x Lil Rass x Fumez The Engineer - Plugged In Freestyle (feat. Lil rass),rap,4060,2020-08-12 19:42:30.819000+00:00,,n/a,n/a,n/a,n/a,n/a,n/a
AMTRAC,No Place (Jacques Greene Remix) [feat. Lali Puna],indie,1420,2020-08-11 00:30:36.468000+00:00,amtrac,493,"18,387",699,3.41%,580.35,46.85
APRE,Live It Up,indie,161,2020-08-11 01:27:17.395000+00:00,apre,126,"12,075",170,3.96%,467.90,10.80
AQUAO,Stonks,ultimate,1014,2020-08-16 18:59:56.800000+00:00,,n/a,n/a,n/a,n/a,n/a,n/a
AQUILO,Moving On,indie,2399,2020-08-11 02:52:21.649000+00:00,,n/a,n/a,n/a,n/a,n/a,n/a
ATL TOP 20 RADIO,Lil Bam - Julio,rap,479000.0,2020-08-12 20:14:06.399000+00:00,,n/a,n/a,n/a,n/a,n/a,n/a
AUSMUSIC,Will Saul 'Wobbly',ultimate,7470,2020-08-13 23:46:48.735000+00:00,,n/a,n/a,n/a,n/a,n/a,n/a
AViVA,AViVA - PSYCHO,ultimate,184000.0,2020-08-13 14:56:51.346000+00:00,,n/a,n/a,n/a,n/a,n/a,n/a
AXL BEATS,Fivio Foreign x Jay DEE - Gimmie Dat (PROD. AXLBEATS X SWIZZBEATS X SZAMZ),rap,235000.0,2020-08-12 19:38:13.884000+00:00,,n/a,n/a,n/a,n/a,n/a,n/a
Aaron Taos,Control (Stripped),ultimate,1126,2020-08-14 03:05:28.234000+00:00,aarontaos,357,"22,259","2,544",3.47%,746.80,25.25
Abbie Ozard,TV Kween,indie,47,2020-08-11 01:27:21.139000+00:00,,n/a,n/a,n/a,n/a,n/a,n/a
Abracadabra,Cadabra Freestyle,rap,4514,2020-08-12 19:40:05.336000+00:00,,n/a,n/a,n/a,n/a,n/a,n/a
Abrahamblue.,abrahamblue - hoops,ultimate,4238,2020-08-16 18:33:48.085000+00:00,abrahamblue,35,"2,392",0,10.34%,233.20,14.25
Afourteen,SOMNIPHOBIA (FT. TEENAGE DISASTER) (PROD. IMOTAPE),ultimate,179000.0,2020-08-13 14:59:36.898000+00:00,afourteen,1,"24,081",85,21.47%,"4,886.00",284.00
Afrojack,Will You Still Love Me?,indie,2530000.0,2020-08-11 00:55:20.600000+00:00,afrojack,224,"3,764,988",371,1.29%,"47,940.10",661.70
Aggro Santos,Like U Like (feat. Kimberley Walsh),rap,0,2020-08-12 21:04:21.963000+00:00,,n/a,n/a,n/a,n/a,n/a,n/a
Air,All I Need (feat. Beth Hirsch),indie,12200.0,2020-08-11 14:11:43.747000+00:00,,n/a,n/a,n/a,n/a,n/a,n/a
Alexander 23,IDK You Yet,indie,2270000.0,2020-08-11 00:52:19.932000+00:00,,n/a,n/a,n/a,n/a,n/a,n/a
Alfie Templeman,Happiness In Liquid Form,indie,27300.0,2020-08-11 02:53:47.303000+00:00,,n/a,n/a,n/a,n/a,n/a,n/a
Alice Ivy,Better Man,indie,1750,2020-08-11 01:34:45.815000+00:00,,n/a,n/a,n/a,n/a,n/a,n/a
Alicia Raye,Summertime Flex,rap,34,2020-08-12 19:34:59.699000+00:00,,n/a,n/a,n/a,n/a,n/a,n/a
Alina Baraz,Alina Baraz - More Than Enough,ultimate,40900.0,2020-08-13 14:25:02.382000+00:00,alinabaraz,21,"443,542",258,16.64%,"70,954.30","2,837.30"
Alister Johnson,"Cold Hands, Warm Heart",indie,1682,2020-08-11 00:28:17.099000+00:00,,n/a,n/a,n/a,n/a,n/a,n/a
All Hands On Deck,AH002D: Teresa Winter - All Hands On Deck Mix Series,ultimate,336,2020-08-16 19:08:02.128000+00:00,allhands0ndeck,266,"1,351",807,3.73%,0.00,0.00
All Time Low,Monsters (feat. blackbear),ultimate,22500.0,2020-08-13 03:16:57.779000+00:00,alltimelow,"1,251","1,300,486",98,1.68%,"21,579.50",245.60
Alma Richards,I am tired,indie,117,2020-08-11 00:59:11.496000+00:00,,n/a,n/a,n/a,n/a,n/a,n/a
Altchomelon,Echomelon - Stillness (Original) [Wip],ultimate,59,2020-08-16 19:04:57.342000+00:00,,n/a,n/a,n/a,n/a,n/a,n/a
Altoception,Do I Wanna Know - Arctic Monkeys (Acoustic Cover),ultimate,30,2020-08-14 02:59:24.925000+00:00,,n/a,n/a,n/a,n/a,n/a,n/a
Aluna,"Aluna, AlunaGeorge - Warrior",indie,52100.0,2020-08-11 01:14:30.130000+00:00,alunaaa,234,"150,450",331,1.37%,"2,020.65",38.00
Alvvays,"Archie, Marry Me",indie,43500.0,2020-08-11 02:59:08.513000+00:00,,n/a,n/a,n/a,n/a,n/a,n/a
Alz x 38,Gifted,rap,28700.0,2020-08-12 19:41:55.497000+00:00,,n/a,n/a,n/a,n/a,n/a,n/a
Aminé,Compensating (feat. Young Thug),rap,202000.0,2020-08-12 20:17:19.192000+00:00,,n/a,n/a,n/a,n/a,n/a,n/a
