soundcloud_name,song_name,genre,song_listens,timestamp,ig_handle,media_uploads,followers,following,engagement_rate,avg_likes,avg_comments,Engaged Fans
070 Shake,Guilty Conscience (Tame Impala Remix),indie,14600,2020-08-11 01:32:22.207000+00:00,070shake,,,,,,,
0okini,MizOrMac - Return Of The Mac,rap,272000,2020-08-12 20:30:24.554000+00:00,mizormac,,,,,,,
100 gecs,hand crushed by a mallet,ultimate,1040000,2020-08-13 15:05:57.024000+00:00,100gecs,,,,,,,
17 Steps,9th House - Lyra,indie,4233,2020-08-11 00:44:21.772000+00:00,9thhousemusic,,,,,,,
22Gz,"Suburban, Pt. 2",rap,16300000,2020-08-12 19:37:39.384000+00:00,22gzofficial,77,"341,556",667,5.62%,"18,740.10",440.2,19195
24kGoldn,CITY OF ANGELS,ultimate,6090000,2020-08-13 14:59:23.895000+00:00,24kgoldn,33,"463,832",787,9.92%,"44,750.10","1,272.25",46012
2TURNTX,Tonight,ultimate,1060000,2020-08-14 03:57:02.156000+00:00,trevgfx,,,,,,,
30Deep Grimeyy,Loose Screw (feat. Lil Baby),rap,238000,2020-08-12 20:39:49.058000+00:00,grimeyy_duce,,,,,,,
318tae,Mixed Signals,ultimate,4551,2020-08-14 03:57:17.069000+00:00,318tae,,,,,,,
3BEAT,"2 + 2 x 2 (feat. K..J, Frisco, JME, Shorty & Jammer)",ultimate,872000,2020-08-13 16:55:22.856000+00:00,skeptagram,,,,,,,
42 Dugg,Not A Rapper (feat. Lil Baby & Yo Gotti),rap,2150000,2020-08-12 20:41:56.540000+00:00,42_dugggg,39,"1,142,488","1,232",4.29%,"48,364.10",629.25,49013
420 gaming L3gend,not worth it,ultimate,175,2020-08-14 03:49:00.337000+00:00,,,,,,,,
4ever Falling,Change Your Mind (prod. Feelo),indie,16200,2020-08-11 01:01:06.280000+00:00,4everfalling,84,"3,615",13,26.34%,915.4,36.85,952
6LACK,Know My Rights (feat. Lil Baby),rap,7440000,2020-08-12 20:40:55.324000+00:00,6lack,,,,,,,
6ix9ine,punani,rap,161000,2020-08-12 20:48:45.471000+00:00,6ix9ine,,,,,,,
777Julius,Denial,indie,1003,2020-08-11 00:49:32.802000+00:00,,,,,,,,
,,,,,,,,,,,,
93PUNX,it’s a bad dream (feat. Good Charlotte),ultimate,102000,2020-08-13 15:02:57.437000+00:00,93punx,,,,,,,
999,lifes a mess,ultimate,803000,2020-08-13 00:54:09.127000+00:00,juicewrld999,,,,,,,
,,,,,,,,,,,,
A BOOGIE WIT DA HOODIE,My Shit,rap,77200000,2020-08-12 20:20:26.600000+00:00,artisthbtl,26,"5,740,106",0,6.46%,"366,560.00","4,516.15",370811
